0,74,8,1637,456,1197,35,498,1796,357,92,31,1993,1933,861,823,1995,1541,444,1214,1581
1,74,1796,1637,8,498,456,35,92,357,1197,31,1993,1581,1933,861,1995,1541,823,1214,1156
2,8,1796,1637,74,498,92,1197,456,35,357,31,1993,174,1933,861,823,1214,1869,870,1581
3,513,7,799,2034,171,1783,327,1588,1581,174,6,410,1869,1621,1712,1640,561,1699,1322,1440
4,8,74,357,1933,1637,1796,92,456,498,35,861,823,1197,1541,1995,31,444,1214,1993,1156
5,1640,1440,1322,6,1621,1699,561,327,513,1783,128,2034,364,1649,1308,799,171,1539,1712,807
6,1796,74,1637,8,92,498,456,35,1197,31,357,1993,1581,958,861,823,1933,1541,99,1214
7,1637,1796,74,92,456,1197,35,8,31,357,498,1993,1951,1009,1933,1387,958,1581,823,740
8,262,1969,205,156,798,571,193,1384,1511,794,23,934,195,171,327,799,513,298,1284,1783
9,1796,456,498,1637,8,74,357,35,92,1197,31,1993,1581,958,870,2054,1350,1933,2037,174
10,1844,2043,422,1793,621,1800,122,172,2065,1851,521,1219,1035,679,905,1255,1275,839,1108,729
11,1480,991,871,1750,2068,944,791,1581,172,2043,1995,1844,621,1793,1851,679,528,1035,1275,1541
12,1796,35,456,1637,1197,357,92,8,31,498,74,1933,1214,823,1480,1993,861,1156,2068,791
13,301,327,965,2034,1183,7,799,44,513,2037,410,1588,1783,852,648,153,1056,1308,2054,1719
14,174,1869,405,1023,1022,74,1284,698,1567,1586,787,298,1583,92,113,1144,524,357,8,1350
15,376,1577,7,1783,171,327,799,2034,1111,1740,513,1581,671,1796,1969,1588,357,193,156,205
16,171,513,2034,7,1783,799,327,1581,2054,1937,6,1588,561,1699,1322,1640,1350,1621,410,1712
17,823,1214,1933,861,1995,1541,444,1156,8,74,498,92,1796,357,456,1637,31,35,1197,1993
18,823,1933,498,861,1995,1214,456,74,92,444,357,1541,31,8,1637,1197,1796,2037,1156,958
19,691,1624,1692,719,434,963,531,2068,861,1933,2054,991,444,713,1214,823,791,806,1350,1750
20,1869,513,174,7,2034,799,1783,171,327,1581,1937,1350,357,99,561,74,1796,498,2054,6
21,1637,74,1796,498,456,92,35,8,357,1197,31,1993,958,2037,1581,1933,823,1214,861,44
22,174,1869,870,581,1969,205,1781,262,1586,1581,475,794,498,357,99,804,1350,698,193,524
23,2068,791,1750,1480,991,174,944,871,1796,1869,7,498,1581,2054,8,1588,1350,35,870,99
24,1969,262,156,798,1384,193,571,205,195,23,1511,934,794,513,1783,7,799,2034,1712,6
25,799,7,1783,1588,712,43,513,410,171,327,2034,1699,561,1440,1640,1621,6,1476,227,697
26,456,498,1796,1637,8,74,35,92,1197,357,31,1993,1581,1933,861,823,958,444,1541,1995
27,35,1637,1796,74,456,8,1197,498,1581,92,31,1557,1993,357,670,948,224,912,591,1405
28,1796,456,8,498,35,1637,74,92,1993,1197,357,31,1581,958,1350,1933,2054,2037,691,823
29,1796,498,74,8,357,1637,456,1197,35,92,31,1993,174,870,1581,581,1869,99,958,1781
30,513,7,2034,799,2037,1783,174,1869,171,327,44,1937,1948,823,74,31,1796,958,1588,410
31,205,262,195,193,798,794,23,1969,156,934,671,1289,571,1511,1022,1384,1583,787,174,405
32,806,1718,1064,8,1796,1684,1637,74,92,1133,1018,375,1197,677,31,456,498,357,35,1993
33,74,1637,92,8,31,1796,1197,456,1993,498,35,357,1951,1009,1779,740,861,117,1995,1214
34,7,513,2034,171,799,1783,327,1588,1581,410,1322,1621,1699,561,6,1640,1350,958,1937,2054
35,7,513,799,1783,171,2034,327,6,174,561,1869,1621,1640,1699,1322,1201,1581,1588,1440,1332
36,1796,8,35,1637,1197,74,456,498,357,92,1993,31,958,990,1624,806,1684,1064,1581,1995
37,740,117,1779,1951,43,1387,712,1009,1534,1725,200,819,670,1557,1405,274,1529,912,1281,1381
38,74,1637,1796,92,456,8,35,498,1993,1197,357,31,1581,958,861,1933,823,561,1322,1541
