0,1214,1995,1541,861,1156,1993,1933,8,456,31,444,92,1637,1869,74,357,823,498,1796,35
1,1214,861,1541,823,1156,444,1933,1995,1993,92,1783,2034,513,74,456,8,7,1796,327,1581
2,1214,861,1541,1869,1933,1995,823,444,1156,958,327,174,410,1588,7,1783,1056,513,1581,2034
3,327,2034,1783,171,799,513,7,1588,410,1214,1933,861,2013,1541,823,1719,1156,1581,1869,1350
4,1214,1541,861,1933,1995,1156,823,444,1993,8,1637,92,31,456,498,74,357,1796,35,1197
5,1621,1440,1699,6,561,1640,168,1322,2034,327,799,513,171,1937,2054,1350,1783,817,738,197
6,2034,1214,8,1869,1933,513,861,1541,1156,1783,327,444,1995,799,1993,174,1197,958,31,498
7,456,74,1387,1993,35,8,92,1637,498,117,740,357,1779,31,1009,1796,1197,1951,289,958
8,1712,934,1621,23,171,1384,327,174,1588,205,1783,798,799,193,513,571,1583,405,410,1511
9,1214,861,1933,1541,444,1156,1993,823,8,1995,92,1869,456,74,1637,958,1581,498,1197,1796
10,1898,521,1793,1035,1275,2043,2065,1592,839,1800,1108,122,422,679,594,1219,621,1844,1851,905
11,791,1750,991,871,1480,375,944,2068,677,1064,1718,1133,806,1018,1898,591,1684,1214,1447,1275
12,1214,1541,1995,1933,861,444,1684,1718,1156,375,823,1064,1018,1439,677,1783,806,513,327,740
13,483,255,1192,613,609,440,1186,1869,2054,2013,1937,852,958,2037,174,713,1870,918,364,410
14,1869,174,2013,1583,561,405,1322,1621,1712,1699,1937,779,1440,6,23,1350,1066,1586,2054,787
15,376,1577,1111,1740,1783,7,2034,799,513,327,1588,171,1621,1440,410,6,1640,364,918,561
16,327,1588,799,513,171,1783,410,2034,7,1581,1869,174,1621,1640,1350,861,1214,958,1712,561
17,861,1541,1214,1933,1995,1156,823,444,1869,8,1637,958,1993,31,74,498,456,92,1796,2037
18,1814,1927,1492,861,1061,1541,1697,1261,21,1214,444,1156,1933,823,1995,2037,44,289,1869,2013
19,1624,691,434,531,1692,963,719,1869,174,1995,677,934,1718,1156,195,794,156,1018,262,1969
20,1869,174,1712,1018,934,1969,410,193,794,23,958,1064,262,806,798,2013,1384,195,227,205
21,1993,1637,8,92,456,31,1796,74,357,498,1197,1214,861,35,1933,1541,444,958,1156,823
22,1869,174,2054,1937,2013,1322,1621,1699,1350,1440,561,405,1066,1583,1586,713,6,410,1932,916
23,1214,1750,1869,1541,791,991,1995,1933,944,861,2068,1480,444,823,871,8,1156,410,1588,1993
24,934,205,193,798,23,794,1384,571,195,262,1969,1511,156,1350,1937,410,697,1712,2054,1869
25,327,171,1783,799,7,2034,513,1588,43,712,410,429,227,1533,897,448,817,697,960,949
26,1214,861,1541,1933,1156,1995,823,444,74,1993,958,8,456,289,92,1869,1637,498,1796,31
27,1873,1405,358,731,575,200,1520,523,1672,670,474,948,819,912,1529,274,1534,546,65,224
28,1214,861,444,1581,1869,1933,1541,1995,375,1156,823,1993,1018,8,1064,958,174,92,1637,456
29,1869,861,958,1541,1214,1993,1156,1581,823,1937,444,174,8,1350,2054,1933,456,1995,713,410
30,1869,174,1783,327,7,2034,1933,1581,958,410,1541,861,171,1588,1712,513,799,444,1214,1201
31,671,1289,405,1583,1586,787,174,561,1440,1932,21,916,804,68,1915,1022,2059,475,524,696
32,1133,677,1064,806,1993,375,1637,92,1718,1684,8,1018,1697,1197,1796,35,456,74,31,1927
33,861,1214,456,1993,444,1933,1995,1541,823,8,1156,357,498,31,1796,1387,1637,92,74,958
34,327,171,1783,7,1588,799,2034,513,410,1869,227,1621,1640,1322,174,6,1440,1699,2013,561
35,1783,327,7,513,171,799,2034,861,1588,1869,410,405,174,1214,444,1640,1712,1583,1933,1541
36,1018,1718,1993,375,806,1064,1684,8,1796,456,92,74,31,677,1637,1197,1133,498,1488,691
37,2034,109,299,1783,852,799,93,513,327,364,168,1725,1588,171,7,648,1865,221,43,727
38,74,8,456,1993,35,92,1995,1637,1214,1933,823,861,31,958,357,498,1796,1541,1156,444
39,727,1833,14,221,93,1396,749,852,1283,1751,1512,1705,299,1764,1649,1703,1058,1923,1143,1355
40,1283,1010,1705,1054,1751,1512,1764,1058,1355,582,1806,414,1149,448,1281,1143,1118,711,671,1775
41,1387,1951,1009,1779,117,740,205,195,1511,1384,193,156,1286,806,1064,571,1969,289,524,323
42,1869,174,861,1214,1541,327,1783,444,823,1933,1156,713,1712,1995,1447,227,410,171,1621,513
43,1588,327,410,171,513,1783,799,2034,7,1869,1937,2013,1350,174,1322,2054,227,561,861,1621
44,1993,456,8,498,357,92,31,1637,1796,35,74,1197,861,1933,1214,1541,1995,1156,823,444
45,1214,1541,1933,823,1995,861,1156,444,991,1750,944,2068,871,791,1973,1781,375,99,513,1056
46,2034,513,7,1588,171,327,410,799,1783,364,227,18,1315,861,1750,268,156,692,817,791
47,1283,1512,1705,1054,1751,1058,1355,1010,1764,582,1806,1149,414,1281,711,1118,1381,1143,1775,448
48,128,1764,1751,1705,1143,1283,1010,1058,1281,1118,1355,1775,1512,1054,711,1923,1539,1381,221,582
49,1621,1322,6,561,1699,1440,1640,1308,116,1870,174,1869,1447,591,798,1586,934,571,193,1712
50,1993,456,31,1637,8,1796,74,92,1197,357,498,35,1214,958,861,1541,1933,1156,1995,444
