0,1,2,3
4,5,6,7
8,9,10,11
8,12,13,14
8,6,15,16
17,18,19,13
17,20,21,22
23,24,25,26
23,27,28,29
23,27,30,31
23,5,32,33
23,34,35,36
23,37,38,35
39,40,24,41
39,40,20,42
39,40,20,43
39,44,45,46
39,24,47,48
39,24,29,49
39,24,35,50
39,18,51,52
39,18,37,21
39,45,6,13
39,45,38,42
39,53,54,38
39,53,54,15
39,53,55,36
39,53,38,56
39,53,42,26
39,47,57,6
39,47,6,58
39,47,59,35
39,47,59,46
39,47,35,60
39,61,62,63
39,20,38,60
39,5,6,64
39,6,56,65
39,66,32,15
39,38,33,26
39,29,67,13
39,67,65,50
68,69,70,71
68,69,70,72
68,69,72,73
68,70,74,75
68,70,72,76
68,70,77,78
68,12,74,77
68,12,79,80
68,74,81,82
68,81,83,84
68,81,79,84
68,83,84,80
68,85,76,77
68,79,86,77
68,82,77,87
88,55,59,33
40,44,47,65
40,53,89,90
40,47,55,32
40,91,34,35
40,12,5,13
40,6,34,92
93,18,5,21
93,51,6,37
93,94,95,96
97,98,99,100
97,18,101,102
97,99,103,6
97,89,20,104
105,24,19,22
105,51,106,21
98,53,89,107
44,24,25,30
44,24,32,29
44,24,32,56
44,45,28,35
44,45,46,36
44,108,34,13
44,53,65,15
44,54,34,65
44,54,56,109
44,110,34,49
44,110,32,111
44,47,61,33
44,47,38,35
44,47,36,109
44,27,32,111
44,112,6,26
44,34,30,26
44,34,33,65
44,34,65,13
44,66,30,65
44,38,59,13
44,38,46,56
44,38,36,113
44,32,59,67
44,32,59,42
44,32,59,114
44,29,42,26
44,29,33,56
44,35,33,15
44,35,65,115
44,46,36,13
24,53,116,42
24,53,62,13
24,53,34,35
24,53,66,35
24,54,30,65
24,54,65,15
24,47,6,50
24,47,37,115
24,47,32,35
24,47,56,26
24,25,20,55
24,55,37,117
24,55,46,60
24,6,117,65
24,66,59,49
24,38,42,13
24,38,49,13
24,29,35,118
24,59,42,119
24,42,30,26
24,46,56,49
24,33,13,120
121,53,67,92
69,122,81,123
69,83,86,77
69,79,76,86
69,79,77,109
124,125,19,22
126,127,81,128
126,79,84,129
45,53,54,66
45,53,61,34
45,53,57,43
45,53,5,6
45,53,6,130
45,53,6,131
45,53,6,13
45,53,34,132
45,53,38,67
45,53,56,13
45,53,15,14
45,54,66,13
45,54,32,130
45,54,46,31
45,110,61,29
45,110,61,49
45,110,35,36
45,110,15,31
45,47,25,111
45,47,57,48
45,47,29,133
45,47,59,33
45,61,57,34
45,61,6,15
45,61,6,14
45,61,34,109
45,25,67,15
45,62,42,26
45,20,57,34
45,20,34,134
45,5,6,34
45,6,34,130
45,6,130,11
45,34,29,13
45,34,56,109
45,66,29,31
45,66,35,111
45,37,135,136
45,135,32,26
45,38,46,56
45,38,46,137
45,32,56,31
45,29,35,26
45,67,30,115
45,67,56,49
138,53,32,119
138,53,139,36
138,110,27,35
