event_id,time,location_id,group_id
qnpbrfyrmblc,2013-09-28 16:45:00,1521693,22211
qnpbrfyrqbkb,2013-12-07 17:45:00,1521693,22211
dlgzpcyrcbfc,2013-01-24 00:00:00,1027268,22211
qxpdrdyrcbcb,2013-01-02 00:00:00,5598512,55272
gpvvqyrcbcb,2013-01-02 00:30:00,250527,61473
vmrhnyrcbcb,2013-01-02 00:30:00,250527,22211
dlgzpcyrcbdb,2013-01-03 00:00:00,1027268,22211
xvgznyrcbdb,2013-01-03 01:00:00,505757,63782
95908232,2013-01-04 01:00:00,279780,22211
qcgtwdyrcbgb,2013-01-05 00:30:00,766443,22211
qsrzzdyrcbjb,2013-01-06 21:00:00,769515,55272
96956112,2013-01-07 00:00:00,962332,22211
kjzmnyrcbkb,2013-01-08 01:00:00,554311,67696
ddzmxdyrcblb,2013-01-09 00:00:00,5598512,55272
qmxscdyrcblb,2013-01-09 01:00:00,1521693,22211
dlgzpcyrcbmb,2013-01-10 00:00:00,1027268,22211
xvgznyrcbmb,2013-01-10 01:00:00,505757,63782
qzdnmcyrcbnb,2013-01-11 00:00:00,4693172,22211
98519252,2013-01-12 00:00:00,11038132,33104
98721752,2013-01-19 01:00:00,1493847,67696
qsrzzdyrcbrb,2013-01-13 21:00:00,769515,55272
98482522,2013-01-13 22:00:00,962332,22211
97810822,2013-01-13 23:30:00,3235882,45720
95650342,2013-01-15 01:00:00,250527,22211
qqqxrcyrcbtb,2013-01-16 00:00:00,1027268,22211
ddzmxdyrcbtb,2013-01-16 00:00:00,5598512,55272
dlgzpcyrcbvb,2013-01-17 00:00:00,1027268,22211
xvgznyrcbvb,2013-01-17 01:00:00,505757,63782
dxbhdfyrcbwb,2013-01-18 00:00:00,5598512,55272
95908542,2013-01-18 01:00:00,8111322,22211
dcdmdfyrcbxb,2013-01-18 21:30:00,769515,55272
95586122,2013-01-19 19:00:00,4786942,54258
qkchdfyrcbzb,2013-01-19 21:00:00,1472446,55272
kjzmnyrdbgb,2013-02-05 01:00:00,554311,67696
qsrzzdyrcbbc,2013-01-20 21:00:00,769515,55272
qfhpzcyrcbdc,2013-01-22 23:00:00,350829,22211
98338082,2013-01-23 01:00:00,279780,22211
99612222,2013-01-24 01:00:00,667694,15324
xvgznyrcbfc,2013-01-24 01:00:00,505757,63782
qzdnmcyrcbgc,2013-01-25 00:00:00,4693172,22211
96046532,2013-01-25 00:00:00,10394762,71156
dxbhdfyrcbgc,2013-01-25 00:00:00,5598512,55272
dlgzpcyrdbrb,2013-02-14 00:00:00,1027268,22211
98723232,2013-01-26 01:00:00,879477,67696
97221612,2013-01-26 21:30:00,1325780,45720
100766562,2013-01-27 18:00:00,1471977,22211
qsrzzdyrcbkc,2013-01-27 21:00:00,769515,55272
qzdctdyrcblc,2013-01-29 00:00:00,3855382,22211
